"equator_url","guideline_id","acronym","title"
"https://www.equator-network.org/reporting-guidelines/endo-star/","endo-star","","Endo -STAR"
"https://www.equator-network.org/reporting-guidelines/guidelines-for-reporting-artificial-intelligence-studies-in-medicines-pharmacotherapy-and-pharmaceutical-services-medinai-development-validation-and-statement/","medinai","MedinAI","Guidelines for reporting artificial intelligence studies in medicines, pharmacotherapy, and pharmaceutical services: Medin AI development, validation and statement"
"https://www.equator-network.org/reporting-guidelines/development-of-a-reporting-guideline-for-trochims-concept-mapping/","conmapt","ConMapT","Development of a Reporting Guideline for Trochim’s Concept Mapping"
"https://www.equator-network.org/reporting-guidelines/development-of-grove-a-guideline-for-reporting-vignette-experiments-conducted-in-a-healthcare-context/","grove","GROVE","Development of GROVE : A Guideline for RepOrting Vignette Experiments conducted in a healthcare context"
"https://www.equator-network.org/reporting-guidelines/guidelines-for-reporting-oral-epidemiologic-studies-to-inform-burden-estimation-groesbe/","groesbe","GROESBE","Guidelines for Reporting Oral Epidemiologic Studies to Inform Burden Estimation (GROESBE)"
"https://www.equator-network.org/reporting-guidelines/reporting-of-cluster-randomised-crossover-trials-extension-of-the-consort-2010-statement-with-explanation-and-elaboration/","consort-crxo","CONSORT CRXO","Reporting of cluster randomised crossover trials: extension of the CONSORT 2010 statement with explanation and elaboration"
"https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-protocols-of-randomised-controlled-trials-of-implantable-neurostimulation-devices-the-spirit-ineurostim-extension/","spirit-ineurostim","SPIRIT-iNeurostim","Reporting guidelines for protocols of randomised controlled trials of implantable neurostimulation devices: the SPIRIT-iNeurostim extension"
"https://www.equator-network.org/reporting-guidelines/developing-the-tidier-rehab-checklist-a-modified-delphi-process-to-extend-the-template-for-intervention-description-and-replication-tidier-for-rehabilitation-intervention-reporting/","tidier-rehab","TIDieR-Rehab","Developing the TIDieR-Rehab checklist: a modified Delphi process to extend the Template for Intervention Description and Replication (TIDieR) for rehabilitation intervention reporting"
"https://www.equator-network.org/reporting-guidelines/did-metab-checklist/","did-metab","DID-METAB","DID-METAB Checklist"
"https://www.equator-network.org/reporting-guidelines/prisma-lsr/","prisma-lsr","PRISMA-LSR","Extension of the PRISMA 2020 statement for living systematic reviews (PRISMA-LSR) : checklist and explanation"
"https://www.equator-network.org/reporting-guidelines/a-child-centred-research-checklist-to-improve-the-design-and-reporting-of-paediatric-research-studies-a-descriptive-mixed-methods-study/","a-child-centred-research-checklist-to-improve-the-design","","A child-centred research checklist to improve the design and reporting of paediatric research studies: A descriptive mixed methods study"
"https://www.equator-network.org/reporting-guidelines/standardised-reporting-of-burden-of-disease-studies-the-strobod-statement/","strobod","STROBOD","Standardised reporting of burden of disease studies: the STROBOD statement"
"https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-randomised-controlled-trial-reports-of-implantable-neurostimulation-devices-the-consort-ineurostim-extension/","consort-ineurostim","CONSORT-iNeurostim","Reporting guidelines for randomised controlled trial reports of implantable neurostimulation devices: the CONSORT-iNeurostim extension"
"https://www.equator-network.org/reporting-guidelines/the-greenbean-checklist-for-reporting-studies-evaluating-the-effectiveness-of-eeg-based-biomarkers/","greenbean","GREENBEAN","The GREENBEAN checklist for reporting studies evaluating the effectiveness of EEG-based biomarkers"
"https://www.equator-network.org/reporting-guidelines/guidelines-for-reporting-research-using-systematic-coding-of-observed-human-behaviour-scobe/","guidelines-for-reporting-research-using-systematic-coding-of","","Guidelines for reporting research using systematic coding of observed human behaviour (SCOBe)"
"https://www.equator-network.org/reporting-guidelines/clinician-informed-explainable-artificial-intelligence-evaluation-checklist-with-metrics-clix-m-for-ai-powered-clinical-decision-support-systems/","clix-m","CLIX-M","Clinician-informed explainable artificial intelligence evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems"
"https://www.equator-network.org/reporting-guidelines/case-based-review-standards-cabaret-considerations-for-authors-reviewers-and-editors/","cabaret","CABARET","CAse-BAsed REview sTandards (CABARET) : Considerations for Authors, Reviewers, and Editors"
"https://www.equator-network.org/reporting-guidelines/publication-guidelines-for-human-heart-rate-and-heart-rate-variability-studies-in-psychophysiology-part-1-physiological-underpinnings-and-foundations-of-measurement/","publication-guidelines-for-human-heart-rate-and-heart","","Publication guidelines for human heart rate and heart rate variability studies in psychophysiology -Part 1: Physiological underpinnings and foundations of measurement"
