"guideline_id","acronym","file_index","file_label","source_url","host","ext","local_path","status","http_status","content_type","bytes","sha256","detected","type_mismatch"
"prisma-s","PRISMA-S",3,"PDF","https://ub.unibas.ch/fileadmin/user_upload/universitaetsbibliothek/Universitaetsbibliothek/5_Standorte/UB_Medizin/TARCiS/TARCiS_Checklist_for_Terminology_and_Reporting_of_Citation_Searching.pdf","ub.unibas.ch","pdf","data-raw/downloads/prisma-s/03_928aa937.pdf","ok",NA,NA,13800476,"235f8304e23798fffc477dc8dd98b09d8929ef13ea67393b625eb2f53a332167","pdf",FALSE
"tidier-placebo","TIDieR-Placebo",1,"TIDieR Placebo Protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2019/05/TIDieR-Placebo-Protocol-v11.pdf","www.equator-network.org","pdf","data-raw/downloads/tidier-placebo/01_5910f2d0.pdf","ok",NA,NA,481879,"aa31a0a294a39d099f501f47c9d3a923e6586759de319dcb244a3ff1ed5581a3","pdf",FALSE
"prisma-m-2020","PRISMA-M 2020",1,"Word","https://www.prisma-statement.org/s/PRISMA-Moxibustion_checklist.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-m-2020/01_3f7abb55.docx","ok",NA,NA,26612,"1bc4d73fdd7743e1f427dfa5e5476daa0ff0f42336ca7496233c6796a9666961","docx",FALSE
"prisma-m-2020","PRISMA-M 2020",2,"PDF","https://www.prisma-statement.org/s/PRISMA-Moxibustion_checklist.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-m-2020/02_9da8dada.pdf","ok",NA,NA,131117,"368700ba96e32c654294a9ed885f6287148e20660e06a8448e665061093f3603","pdf",FALSE
"bias","BIAS",1,"BIAS checklist (PDF)","https://ars.els-cdn.com/content/image/1-s2.0-S1361841520301602-mmc1.pdf","ars.els-cdn.com","pdf","data-raw/downloads/bias/01_75853ebf.pdf","ok",NA,NA,160396,"764d72bc8d8b97c1341ebcd383bbf3f6127555124ed3a0292ab4c1c88b79323a","pdf",FALSE
"guided","GUIDED",1,"GUIDED checklist (PDF)","https://bmjopen.bmj.com/content/bmjopen/10/4/e033516/DC1/embed/inline-supplementary-material-1.pdf?download=true","bmjopen.bmj.com","pdf","data-raw/downloads/guided/01_17501c75.pdf","ok",NA,NA,5962,"214cc6d6ffa333ec7930819ac995d3e61da121f8080692212ba591309921ba4b","html",TRUE
"price-2020","PRICE 2020",1,"PRICE 2020 Checklist (Word)","http://pride-endodonticguidelines.org/wp-content/uploads/2020/03/PRICE-2020-Checklist.docx","pride-endodonticguidelines.org","docx","data-raw/downloads/price-2020/01_686c835d.docx","ok",NA,NA,26634,"fab50076b7ffb099606418bef2a9ae695e8afc3016a78572f39233cc0f6cc6a0","docx",FALSE
"price-2020","PRICE 2020",2,"PRICE 2020 Flowchart (Word)","http://pride-endodonticguidelines.org/wp-content/uploads/2020/03/PRICE-2020-Flowchart.docx","pride-endodonticguidelines.org","docx","data-raw/downloads/price-2020/02_30e10e66.docx","ok",NA,NA,31138,"db498e121a9f605b81d901f391d58feecf3b6e65a54dc27be30c2d2399c830b2","docx",FALSE
"swim","SWiM",1,"SWiM checklist (Word)","https://www.equator-network.org/wp-content/uploads/2020/01/Synthesis-without-Meta-analysis-SWiM-Checklist.docx","www.equator-network.org","docx","data-raw/downloads/swim/01_b4200bff.docx","ok",NA,NA,19251,"414adaf92b158c989715f74c75fe1ad64487daaee716a1de95f7d1bd7adcdb24","docx",FALSE
"swim","SWiM",2,"SWiM checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2020/01/Synthesis-without-Meta-analysis-SWiM-Checklist.pdf","www.equator-network.org","pdf","data-raw/downloads/swim/02_67f85f45.pdf","ok",NA,NA,61084,"63a3cdfe445925dc163b63c947f521e95b71fba2833510622c227303355b0e62","pdf",FALSE
"ace-statement","ACE Statement",1,"ACE Project Protocol (PDF)","https://www.equator-network.org/wp-content/uploads/2017/12/ACE-Project-Protocol-v2.3.pdf","www.equator-network.org","pdf","data-raw/downloads/ace-statement/01_bacd3c10.pdf","ok",NA,NA,317591,"c39d65c5fa653a2fa7bd7beda8cc39e6a7df62ed9b456bdaad16e167b07e478d","pdf",FALSE
"spent","SPENT",1,"SPENT development statement (PDF)","https://www.equator-network.org/wp-content/uploads/2009/02/SPENT-development-statement.pdf","www.equator-network.org","pdf","data-raw/downloads/spent/01_8bcc0793.pdf","ok",NA,NA,95789,"08a289f010cbb72acdec2d052046773c11478c1e4981cd21c1ced936ed27fd07","pdf",FALSE
"prirate","PRIRATE",1,"PRIRATE 2020 Checklist (Word)","http://pride-endodonticguidelines.org/wp-content/uploads/2020/03/PRIRATE-2020-checklist.docx","pride-endodonticguidelines.org","docx","data-raw/downloads/prirate/01_ea232853.docx","ok",NA,NA,31322,"e73c040cb882e0f6e834c2cce263a29cb9297c14df9dab84497e3707f43fae9a","docx",FALSE
"prirate","PRIRATE",2,"PRIRATE 2020 Flowchart (Word)","http://pride-endodonticguidelines.org/wp-content/uploads/2020/03/PRIRATE-2020-flowchart.docx","pride-endodonticguidelines.org","docx","data-raw/downloads/prirate/02_82c8e742.docx","ok",NA,NA,41183,"fbe8928844009ab7d8bd0a11e1a93d9106c035e0f84599eefd953ca0445675c9","docx",FALSE
"prisma-a","PRISMA-A",1,"PRISMA - A checklist (PDF)","https://www.prisma-statement.org/s/PRISMA-A-checklist-fmgd.pdf","www.prisma-statement.org","pdf","data-raw/downloads/prisma-a/01_11686f99.pdf","ok",NA,NA,106137,"04353aa2f6ca62639e7e9d6e7f99c3ae8435f06b9d84f9f745906c34ac053ed3","pdf",FALSE
"prisma-a","PRISMA-A",2,"PRISMA - A checklist (Word)","https://www.prisma-statement.org/s/PRISMA-A-checklist-m2n3.docx","www.prisma-statement.org","docx","data-raw/downloads/prisma-a/02_4fc4139e.docx","ok",NA,NA,17825,"0e1acad88678b57b6fbd04e3ec905572161f10385f6b84681fc15d41ad20382c","docx",FALSE
